"V1","V2"
243,32
242.775,32.045
242.82,32.045
242.865,32.045
242.91,32.045
242.955,32.045
243,32.045
242.55,32.09
242.595,32.09
242.64,32.09
242.685,32.09
242.73,32.09
242.775,32.09
242.82,32.09
242.865,32.09
242.91,32.09
242.955,32.09
243,32.09
242.37,32.135
242.415,32.135
242.46,32.135
242.505,32.135
242.55,32.135
242.595,32.135
242.64,32.135
242.685,32.135
242.73,32.135
242.775,32.135
242.82,32.135
242.865,32.135
242.91,32.135
242.955,32.135
243,32.135
242.145,32.18
242.19,32.18
242.235,32.18
242.28,32.18
242.325,32.18
242.37,32.18
242.415,32.18
242.46,32.18
242.505,32.18
242.55,32.18
242.595,32.18
242.64,32.18
242.685,32.18
242.73,32.18
242.775,32.18
242.82,32.18
242.865,32.18
242.91,32.18
242.955,32.18
243,32.18
241.875,32.225
241.92,32.225
241.965,32.225
242.01,32.225
242.055,32.225
242.1,32.225
242.145,32.225
242.19,32.225
242.235,32.225
242.28,32.225
242.325,32.225
242.37,32.225
242.415,32.225
242.46,32.225
242.505,32.225
242.55,32.225
242.595,32.225
242.64,32.225
242.685,32.225
242.73,32.225
242.775,32.225
242.82,32.225
242.865,32.225
242.91,32.225
242.955,32.225
243,32.225
241.65,32.27
241.695,32.27
241.74,32.27
241.785,32.27
241.83,32.27
241.875,32.27
241.92,32.27
241.965,32.27
242.01,32.27
242.055,32.27
242.1,32.27
242.145,32.27
242.19,32.27
242.235,32.27
242.28,32.27
242.325,32.27
242.37,32.27
242.415,32.27
242.46,32.27
242.505,32.27
242.55,32.27
242.595,32.27
242.64,32.27
242.685,32.27
242.73,32.27
242.775,32.27
242.82,32.27
242.865,32.27
242.91,32.27
242.955,32.27
243,32.27
241.425,32.315
241.47,32.315
241.515,32.315
241.56,32.315
241.605,32.315
241.65,32.315
241.695,32.315
241.74,32.315
241.785,32.315
241.83,32.315
241.875,32.315
241.92,32.315
241.965,32.315
242.01,32.315
242.055,32.315
242.1,32.315
242.145,32.315
242.19,32.315
242.235,32.315
242.28,32.315
242.325,32.315
242.37,32.315
242.415,32.315
242.46,32.315
242.505,32.315
242.55,32.315
242.595,32.315
242.64,32.315
242.685,32.315
242.73,32.315
242.775,32.315
242.82,32.315
242.865,32.315
242.91,32.315
242.955,32.315
243,32.315
241.245,32.36
241.29,32.36
241.335,32.36
241.38,32.36
241.425,32.36
241.47,32.36
241.515,32.36
241.56,32.36
241.605,32.36
241.65,32.36
241.695,32.36
241.74,32.36
241.785,32.36
241.83,32.36
241.875,32.36
241.92,32.36
241.965,32.36
242.01,32.36
242.055,32.36
242.1,32.36
242.145,32.36
242.19,32.36
242.235,32.36
242.28,32.36
242.325,32.36
242.37,32.36
242.415,32.36
242.46,32.36
242.505,32.36
242.55,32.36
242.595,32.36
242.64,32.36
242.685,32.36
242.73,32.36
242.775,32.36
242.82,32.36
242.865,32.36
242.91,32.36
242.955,32.36
243,32.36
240.975,32.405
241.02,32.405
241.065,32.405
241.11,32.405
241.155,32.405
241.2,32.405
241.245,32.405
241.29,32.405
241.335,32.405
241.38,32.405
241.425,32.405
241.47,32.405
241.515,32.405
241.56,32.405
241.605,32.405
241.65,32.405
241.695,32.405
241.74,32.405
241.785,32.405
241.83,32.405
241.875,32.405
241.92,32.405
241.965,32.405
242.01,32.405
242.055,32.405
242.1,32.405
242.145,32.405
242.19,32.405
242.235,32.405
242.28,32.405
242.325,32.405
242.37,32.405
242.415,32.405
242.46,32.405
242.505,32.405
242.55,32.405
242.595,32.405
242.64,32.405
242.685,32.405
242.73,32.405
242.775,32.405
242.82,32.405
242.865,32.405
242.91,32.405
242.955,32.405
243,32.405
240.75,32.45
240.795,32.45
240.84,32.45
240.885,32.45
240.93,32.45
240.975,32.45
241.02,32.45
241.065,32.45
241.11,32.45
241.155,32.45
241.2,32.45
241.245,32.45
241.29,32.45
241.335,32.45
241.38,32.45
241.425,32.45
241.47,32.45
241.515,32.45
241.56,32.45
241.605,32.45
241.65,32.45
241.695,32.45
241.74,32.45
241.785,32.45
241.83,32.45
241.875,32.45
241.92,32.45
241.965,32.45
242.01,32.45
242.055,32.45
242.1,32.45
242.145,32.45
242.19,32.45
242.235,32.45
242.28,32.45
242.325,32.45
242.37,32.45
242.415,32.45
242.46,32.45
242.505,32.45
242.55,32.45
242.595,32.45
242.64,32.45
242.685,32.45
242.73,32.45
242.775,32.45
242.82,32.45
242.865,32.45
242.91,32.45
242.955,32.45
243,32.45
240.57,32.495
240.615,32.495
240.66,32.495
240.705,32.495
240.75,32.495
240.795,32.495
240.84,32.495
240.885,32.495
240.93,32.495
240.975,32.495
241.02,32.495
241.065,32.495
241.11,32.495
241.155,32.495
241.2,32.495
241.245,32.495
241.29,32.495
241.335,32.495
241.38,32.495
241.425,32.495
241.47,32.495
241.515,32.495
241.56,32.495
241.605,32.495
241.65,32.495
241.695,32.495
241.74,32.495
241.785,32.495
241.83,32.495
241.875,32.495
241.92,32.495
241.965,32.495
242.01,32.495
242.055,32.495
242.1,32.495
242.145,32.495
242.19,32.495
242.235,32.495
242.28,32.495
242.325,32.495
242.37,32.495
242.415,32.495
242.46,32.495
242.505,32.495
242.55,32.495
242.595,32.495
242.64,32.495
242.685,32.495
242.73,32.495
242.775,32.495
242.82,32.495
242.865,32.495
242.91,32.495
242.955,32.495
243,32.495
240.3,32.54
240.345,32.54
240.39,32.54
240.435,32.54
240.48,32.54
240.525,32.54
240.57,32.54
240.615,32.54
240.66,32.54
240.705,32.54
240.75,32.54
240.795,32.54
240.84,32.54
240.885,32.54
240.93,32.54
240.975,32.54
241.02,32.54
241.065,32.54
241.11,32.54
241.155,32.54
241.2,32.54
241.245,32.54
241.29,32.54
241.335,32.54
241.38,32.54
241.425,32.54
241.47,32.54
241.515,32.54
241.56,32.54
241.605,32.54
241.65,32.54
241.695,32.54
241.74,32.54
241.785,32.54
241.83,32.54
241.875,32.54
241.92,32.54
241.965,32.54
242.01,32.54
242.055,32.54
242.1,32.54
242.145,32.54
242.19,32.54
242.235,32.54
242.28,32.54
242.325,32.54
242.37,32.54
242.415,32.54
242.46,32.54
242.505,32.54
242.55,32.54
242.595,32.54
242.64,32.54
242.685,32.54
242.73,32.54
242.775,32.54
242.82,32.54
242.865,32.54
242.91,32.54
242.955,32.54
243,32.54
240.12,32.585
240.165,32.585
240.21,32.585
240.255,32.585
240.3,32.585
240.345,32.585
240.39,32.585
240.435,32.585
240.48,32.585
240.525,32.585
240.57,32.585
240.615,32.585
240.66,32.585
240.705,32.585
240.75,32.585
240.795,32.585
240.84,32.585
240.885,32.585
240.93,32.585
240.975,32.585
241.02,32.585
241.065,32.585
241.11,32.585
241.155,32.585
241.2,32.585
241.245,32.585
241.29,32.585
241.335,32.585
241.38,32.585
241.425,32.585
241.47,32.585
241.515,32.585
241.56,32.585
241.605,32.585
241.65,32.585
241.695,32.585
241.74,32.585
241.785,32.585
241.83,32.585
241.875,32.585
241.92,32.585
241.965,32.585
242.01,32.585
242.055,32.585
242.1,32.585
242.145,32.585
242.19,32.585
242.235,32.585
242.28,32.585
242.325,32.585
242.37,32.585
242.415,32.585
242.46,32.585
242.505,32.585
242.55,32.585
242.595,32.585
242.64,32.585
242.685,32.585
242.73,32.585
242.775,32.585
242.82,32.585
242.865,32.585
242.91,32.585
242.955,32.585
243,32.585
239.85,32.63
239.895,32.63
239.94,32.63
239.985,32.63
240.03,32.63
240.075,32.63
240.12,32.63
240.165,32.63
240.21,32.63
240.255,32.63
240.3,32.63
240.345,32.63
240.39,32.63
240.435,32.63
240.48,32.63
240.525,32.63
240.57,32.63
240.615,32.63
240.66,32.63
240.705,32.63
240.75,32.63
240.795,32.63
240.84,32.63
240.885,32.63
240.93,32.63
240.975,32.63
241.02,32.63
241.065,32.63
241.11,32.63
241.155,32.63
241.2,32.63
241.245,32.63
241.29,32.63
241.335,32.63
241.38,32.63
241.425,32.63
241.47,32.63
241.515,32.63
241.56,32.63
241.605,32.63
241.65,32.63
241.695,32.63
241.74,32.63
241.785,32.63
241.83,32.63
241.875,32.63
241.92,32.63
241.965,32.63
242.01,32.63
242.055,32.63
242.1,32.63
242.145,32.63
242.19,32.63
242.235,32.63
242.28,32.63
242.325,32.63
242.37,32.63
242.415,32.63
242.46,32.63
242.505,32.63
242.55,32.63
242.595,32.63
242.64,32.63
242.685,32.63
242.73,32.63
242.775,32.63
242.82,32.63
242.865,32.63
242.91,32.63
242.955,32.63
243,32.63
239.67,32.675
239.715,32.675
239.76,32.675
239.805,32.675
239.85,32.675
239.895,32.675
239.94,32.675
239.985,32.675
240.03,32.675
240.075,32.675
240.12,32.675
240.165,32.675
240.21,32.675
240.255,32.675
240.3,32.675
240.345,32.675
240.39,32.675
240.435,32.675
240.48,32.675
240.525,32.675
240.57,32.675
240.615,32.675
240.66,32.675
240.705,32.675
240.75,32.675
240.795,32.675
240.84,32.675
240.885,32.675
240.93,32.675
240.975,32.675
241.02,32.675
241.065,32.675
241.11,32.675
241.155,32.675
241.2,32.675
241.245,32.675
241.29,32.675
241.335,32.675
241.38,32.675
241.425,32.675
241.47,32.675
241.515,32.675
241.56,32.675
241.605,32.675
241.65,32.675
241.695,32.675
241.74,32.675
241.785,32.675
241.83,32.675
241.875,32.675
241.92,32.675
241.965,32.675
242.01,32.675
242.055,32.675
242.1,32.675
242.145,32.675
242.19,32.675
242.235,32.675
242.28,32.675
242.325,32.675
242.37,32.675
242.415,32.675
242.46,32.675
242.505,32.675
242.55,32.675
242.595,32.675
242.64,32.675
242.685,32.675
242.73,32.675
242.775,32.675
242.82,32.675
242.865,32.675
242.91,32.675
242.955,32.675
243,32.675
239.4,32.72
239.445,32.72
239.49,32.72
239.535,32.72
239.58,32.72
239.625,32.72
239.67,32.72
239.715,32.72
239.76,32.72
239.805,32.72
239.85,32.72
239.895,32.72
239.94,32.72
239.985,32.72
240.03,32.72
240.075,32.72
240.12,32.72
240.165,32.72
240.21,32.72
240.255,32.72
240.3,32.72
240.345,32.72
240.39,32.72
240.435,32.72
240.48,32.72
240.525,32.72
240.57,32.72
240.615,32.72
240.66,32.72
240.705,32.72
240.75,32.72
240.795,32.72
240.84,32.72
240.885,32.72
240.93,32.72
240.975,32.72
241.02,32.72
241.065,32.72
241.11,32.72
241.155,32.72
